Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABAT,American Battery Technology Company Common Stock,$0.9142,-0.0103,-1.114%,68127710.00,United States,,238873,Basic Materials,Metal Mining
ACOG,Alpha Cognition Inc. Common Stock,$5.744,-0.156,-2.644%,34660565.00,Canada,,44428,,
ALX,Alexander's Inc. Common Stock,$221.72,0.37,0.167%,1132388339.00,United States,,14238,Real Estate,Real Estate Investment Trusts
AREN,The Arena Group Holdings Inc. Common Stock,$1.39,-0.01,-0.714%,65977391.00,United States,2022,74784,Technology,EDP Services
BBAR,Banco BBVA Argentina S.A. ADS,$16.31,-0.93,-5.394%,3331100463.00,Argentina,,637506,Finance,Commercial Banks
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,$16.27,0.10,0.618%,1759356450.00,United States,2020,353233,Finance,Finance/Investors Services
BHIL,Benson Hill Inc. Common Stock,$3.01,-0.28,-8.511%,18403200.00,United States,,27480,Consumer Staples,Packaged Foods
BKKT,Bakkt Holdings Inc. Class A Common Stock,$23.78,-0.18,-0.751%,325104156.00,United States,,669580,Finance,Finance: Consumer Services
CDT,Conduit Pharmaceuticals Inc. Common Stock,$0.0964,-0.0005,-0.516%,9914545.00,United States,2022,5495734,Health Care,Biotechnology: Pharmaceutical Preparations
CHEK,Check-Cap Ltd. Ordinary Share,$0.825,0.022,2.74%,4826885.00,Israel,2015,11180,Health Care,Medical Electronics
CTM,Castellum Inc. Common Stock,$0.278,0.0466,20.138%,15598560.00,,2022,1856151,Consumer Discretionary,Professional Services
EAST,Eastside Distilling Inc. Common Stock,$0.6923,-0.0702,-9.207%,3455314.00,United States,,41429,Consumer Staples,Beverages (Production/Distribution)
FIZZ,National Beverage Corp. Common Stock,$49.74,0.22,0.444%,4656253220.00,United States,,170635,Consumer Staples,Beverages (Production/Distribution)
GME,GameStop Corporation Common Stock,$27.03,-0.41,-1.494%,11528554272.00,United States,2002,6387537,Consumer Discretionary,Electronics Distribution
HHS,Harte Hanks Inc. Common Stock,$5.77,0.37,6.852%,42057432.00,United States,,63448,Consumer Discretionary,Advertising
IMCC,IM Cannabis Corp. Common Shares,$2.8656,-0.3544,-11.006%,6397042.00,Canada,,75954,Health Care, Medicinal Chemicals and Botanical Products 
IMG,CIMG Inc. Common Stock,$0.853,0.0151,1.802%,4269410.00,United States,,470306,Consumer Discretionary,Other Specialty Stores
IPW,iPower Inc. Common Stock,$0.81,-0.028,-3.341%,25459306.00,United States,2021,246508,Consumer Discretionary,RETAIL: Building Materials
IRIX,IRIDEX Corporation Common Stock,$1.85,-0.03,-1.596%,30777303.00,United States,1996,17999,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
IVDA,Iveda Solutions Inc. Common Stock,$1.76,-0.04,-2.222%,4678205.00,United States,,153997,Technology,Computer Software: Prepackaged Software
LUXH,LuxUrban Hotels Inc. Common Stock,$0.9025,-0.1275,-12.379%,2039701.00,United States,2022,400597,Finance,Real Estate
MBIO,Mustang Bio Inc. Common Stock,$0.19,0.0062,3.373%,9078247.00,United States,,623303,Health Care,Biotechnology: Pharmaceutical Preparations
MMI,Marcus & Millichap Inc. Common Stock,$41.62,0.29,0.702%,1615842560.00,United States,2013,43451,Finance,Real Estate
NL,NL Industries Inc. Common Stock,$8.33,0.12,1.462%,406901624.00,United States,,14614,Industrials,Major Chemicals
PIRS,Pieris Pharmaceuticals Inc. Common Stock,$16.70,0.60,3.727%,22048008.00,United States,,27311,Health Care,Biotechnology: Pharmaceutical Preparations
PSEC,Prospect Capital Corporation Common Stock,$4.58,0.03,0.659%,1997686002.00,United States,2004,2279586,Finance,Finance: Consumer Services
RGF,The Real Good Food Company Inc. Class A Common Stock,$0.2326,-0.0136,-5.524%,7834946.00,United States,2021,78537,Consumer Staples,Packaged Foods
SHLT,SHL Telemedicine Ltd American Depositary Shares,$2.8209,0.00,0.00%,46242320.00,Israel,,57,Health Care,Medical/Nursing Services
SQFT,Presidio Property Trust Inc. Class A Common Stock,$0.7108,0.0559,8.536%,10238582.00,United States,2020,87926,Real Estate,Real Estate Investment Trusts
SUNE,SUNation Energy Inc. Common Stock,$3.06,-0.14,-4.375%,5553114.00,United States,,92227,Utilities,Telecommunications Equipment
TEO,Telecom Argentina SA,$12.93,-0.48,-3.579%,5569437194.00,Argentina,,223299,Telecommunications,Telecommunications Equipment
TFFP,TFF Pharmaceuticals Inc. Common Stock,$0.3137,0.0007,0.224%,1393782.00,United States,2019,3165702,Health Care,Biotechnology: Pharmaceutical Preparations
TGS,Transportadora de Gas del Sur SA TGS Common Stock,$28.32,-1.07,-3.641%,4263638644.00,Argentina,,417420,Utilities,Natural Gas Distribution
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,$5.89,-0.24,-3.915%,984447626.00,China,2019,6185944,Finance,Investment Bankers/Brokers/Service
TLSA,Tiziana Life Sciences Ltd. Common Shares,$1.02,0.11,12.088%,105149499.00,United Kingdom,2018,1390309,Health Care,Biotechnology: Pharmaceutical Preparations
TOI,The Oncology Institute Inc. Common Stock,$0.2052,0.0123,6.376%,15504722.00,United States,2020,18370981,Health Care,Medical/Nursing Services
TPL,Texas Pacific Land Corporation Common Stock,$1387.92,-182.01,-11.594%,31887342639.00,United States,,322575,Energy,Oil & Gas Production
VHI,Valhi Inc. Common Stock,$25.06,-0.22,-0.87%,709067513.00,United States,,20067,Industrials,Major Chemicals
WMPN,William Penn Bancorporation Common Stock,$13.15,0.17,1.31%,121088054.00,United States,2021,6353,Finance,Banks
