Symbol,Name,Market Cap,Country,Sector,Industry,Move
ABAT,American Battery Technology Company Common Stock,68127710.0,United States,Basic Materials,Metal Mining,SS
ACOG,Alpha Cognition Inc. Common Stock,34660565.0,Canada,,,SS
ALX,Alexander's Inc. Common Stock,1132388339.0,United States,Real Estate,Real Estate Investment Trusts,SS
AREN,The Arena Group Holdings Inc. Common Stock,65977391.0,United States,Technology,EDP Services,SS
BBAR,Banco BBVA Argentina S.A. ADS,3331100463.0,Argentina,Finance,Commercial Banks,SS
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,1759356450.0,United States,Finance,Finance/Investors Services,SS
BHIL,Benson Hill Inc. Common Stock,18403200.0,United States,Consumer Staples,Packaged Foods,SS
BKKT,Bakkt Holdings Inc. Class A Common Stock,325104156.0,United States,Finance,Finance: Consumer Services,SS
CDT,Conduit Pharmaceuticals Inc. Common Stock,9914545.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,SS
CHEK,Check-Cap Ltd. Ordinary Share,4826885.0,Israel,Health Care,Medical Electronics,SS
CTM,Castellum Inc. Common Stock,15598560.0,,Consumer Discretionary,Professional Services,SS
EAST,Eastside Distilling Inc. Common Stock,3455314.0,United States,Consumer Staples,Beverages (Production/Distribution),SS
FIZZ,National Beverage Corp. Common Stock,4656253220.0,United States,Consumer Staples,Beverages (Production/Distribution),SS
GME,GameStop Corporation Common Stock,11528554272.0,United States,Consumer Discretionary,Electronics Distribution,SS
HHS,Harte Hanks Inc. Common Stock,42057432.0,United States,Consumer Discretionary,Advertising,SS
IMCC,IM Cannabis Corp. Common Shares,6397042.0,Canada,Health Care, Medicinal Chemicals and Botanical Products ,SS
IMG,CIMG Inc. Common Stock,4269410.0,United States,Consumer Discretionary,Other Specialty Stores,SS
IPW,iPower Inc. Common Stock,25459306.0,United States,Consumer Discretionary,RETAIL: Building Materials,SS
IRIX,IRIDEX Corporation Common Stock,30777303.0,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,SS
IVDA,Iveda Solutions Inc. Common Stock,4678205.0,United States,Technology,Computer Software: Prepackaged Software,SS
LUXH,LuxUrban Hotels Inc. Common Stock,2039701.0,United States,Finance,Real Estate,SS
MBIO,Mustang Bio Inc. Common Stock,9078247.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,SS
MMI,Marcus & Millichap Inc. Common Stock,1615842560.0,United States,Finance,Real Estate,SS
NL,NL Industries Inc. Common Stock,406901624.0,United States,Industrials,Major Chemicals,SS
PIRS,Pieris Pharmaceuticals Inc. Common Stock,22048008.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,SS
PSEC,Prospect Capital Corporation Common Stock,1997686002.0,United States,Finance,Finance: Consumer Services,SS
RGF,The Real Good Food Company Inc. Class A Common Stock,7834946.0,United States,Consumer Staples,Packaged Foods,SS
SHLT,SHL Telemedicine Ltd American Depositary Shares,46242320.0,Israel,Health Care,Medical/Nursing Services,SS
SQFT,Presidio Property Trust Inc. Class A Common Stock,10238582.0,United States,Real Estate,Real Estate Investment Trusts,SS
SUNE,SUNation Energy Inc. Common Stock,5553114.0,United States,Utilities,Telecommunications Equipment,SS
TEO,Telecom Argentina SA,5569437194.0,Argentina,Telecommunications,Telecommunications Equipment,SS
TFFP,TFF Pharmaceuticals Inc. Common Stock,1393782.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,SS
TGS,Transportadora de Gas del Sur SA TGS Common Stock,4263638644.0,Argentina,Utilities,Natural Gas Distribution,SS
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,984447626.0,China,Finance,Investment Bankers/Brokers/Service,SS
TLSA,Tiziana Life Sciences Ltd. Common Shares,105149499.0,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations,SS
TOI,The Oncology Institute Inc. Common Stock,15504722.0,United States,Health Care,Medical/Nursing Services,SS
TPL,Texas Pacific Land Corporation Common Stock,31887342639.0,United States,Energy,Oil & Gas Production,SS
VHI,Valhi Inc. Common Stock,709067513.0,United States,Industrials,Major Chemicals,SS
WMPN,William Penn Bancorporation Common Stock,121088054.0,United States,Finance,Banks,SS
